dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Lai_PNS,NIN,NIN,2,codingPotential; PTC,0.19899999999999998,1.6704691995275725e-192
Lai_PNS,INPP5F,INPP5F,2,codingPotential; domain_identified,0.46295000000000003,5.27101074690381e-140
Lai_PNS,HSPA1A,HSPA1A,3,codingPotential; domain_identified; IR,0.6708666666666667,1.748721816209275e-120
Lai_PNS,DGCR8,DGCR8,2,codingPotential; domain_identified,0.273,4.3662670043826044e-91
Lai_PNS,CTNND2,CTNND2,1,codingPotential,0.41303333333333336,1.2956910321470005e-76
Lai_PNS,STAT2,STAT2,3,codingPotential; domain_identified; IR,0.1129,5.063105118892066e-73
Lai_PNS,PACSIN2,PACSIN2,2,codingPotential; domain_identified,0.16770000000000002,2.4732526786276875e-63
Lai_PNS,DDHD1,DDHD1,2,codingPotential; domain_identified,0.14478333333333332,1.4363923975171402e-54
Lai_PNS,NBPF14,NBPF14,4,codingPotential; domain_identified; IR; PTC,0.2946,9.129528588461461e-53
Lai_PNS,MYLK,MYLK,3,codingPotential; domain_identified; IR,0.2094,2.7837095682036267e-47
Lai_PNS,CLU,CLU,3,codingPotential; domain_identified; signal_peptide_identified,0.17648333333333333,3.7012599066097226e-47
Lai_PNS,LRRC57,LRRC57,3,codingPotential; domain_identified; IR,0.14005,3.401260089441524e-44
Lai_PNS,PLEKHA7,PLEKHA7,2,codingPotential; domain_identified,0.1786,1.1900405503403665e-43
Lai_PNS,MEST,MEST,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.11893333333333334,4.970099194284113e-40
Lai_PNS,SLC8A1,SLC8A1,3,codingPotential; domain_identified; signal_peptide_identified,0.19568333333333338,5.648438090908642e-39
Lai_PNS,TOM1L1,TOM1L1,2,codingPotential; domain_identified,0.24671666666666667,1.7520576780742785e-38
Lai_PNS,OCLN,OCLN,2,codingPotential; domain_identified,0.49723333333333336,1.8199288401822346e-37
Lai_PNS,DPP6,DPP6,2,codingPotential; domain_identified,0.20729999999999998,3.0254426370209923e-37
Lai_PNS,RTN4,RTN4,2,codingPotential; domain_identified,0.1675000000000001,3.3680647705499195e-36
Lai_PNS,LINC03105,LINC03105,1,IR,0.4476,1.1735737791877664e-35
Lai_PNS,LTA4H,LTA4H,2,codingPotential; domain_identified,0.29410000000000003,2.8619325803352974e-35
Lai_PNS,RRBP1,RRBP1,3,codingPotential; domain_identified; IR,0.1988,1.9909903703537867e-32
Lai_PNS,SLC44A2,SLC44A2,3,codingPotential; domain_identified; IR,0.26966666666666667,3.97690824657972e-31
Lai_PNS,OTUD7A,OTUD7A,2,codingPotential; domain_identified,0.27029999999999993,2.246842980406653e-30
Lai_PNS,ARAP1,ARAP1,2,codingPotential; domain_identified,0.20686666666666667,1.8431258625407116e-29
Lai_PNS,NPIPB5,NPIPB5,3,codingPotential; IR; PTC,0.16076666666666667,4.0244010738638456e-29
Lai_PNS,COL12A1,COL12A1,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.18124999999999997,6.487170221036316e-29
Lai_PNS,ACOT9,ACOT9,1,codingPotential,0.12418333333333331,5.518899148863565e-27
Lai_PNS,RPUSD1,RPUSD1,2,codingPotential; domain_identified,0.14601666666666663,1.8477726269000833e-26
Lai_PNS,CLASP1,CLASP1,2,codingPotential; domain_identified,0.10973333333333334,5.223119222783391e-26
Lai_PNS,ZNF382,ZNF382,2,codingPotential; domain_identified,0.28674999999999995,1.0113343476285931e-25
Lai_PNS,NECTIN2,NECTIN2,3,codingPotential; domain_identified; signal_peptide_identified,0.2465,1.14396701404704e-25
Lai_PNS,CUL9,CUL9,3,codingPotential; domain_identified; IR,0.26711666666666667,1.3899897175797851e-24
Lai_PNS,NRXN3,NRXN3,3,codingPotential; domain_identified; signal_peptide_identified,0.17085,2.4099498775866745e-24
Lai_PNS,PDE10A,PDE10A,3,codingPotential; domain_identified; PTC,0.21105000000000002,8.971487227923685e-23
Lai_PNS,UFSP2,UFSP2,2,codingPotential; domain_identified,0.13949999999999999,2.2377608659909e-22
Lai_PNS,MYC,MYC,2,codingPotential; domain_identified,0.1789,1.732665129764391e-21
Lai_PNS,UVRAG,UVRAG,2,codingPotential; domain_identified,0.21418333333333328,2.88753209237447e-21
Lai_PNS,AGO1,AGO1,3,codingPotential; domain_identified; PTC,0.14353333333333335,2.88753209237447e-21
Lai_PNS,FBXL7,FBXL7,2,codingPotential; domain_identified,0.27098333333333335,5.446104352543991e-21
Lai_PNS,TMTC3,TMTC3,3,codingPotential; domain_identified; PTC,0.18198333333333333,2.4201658809132534e-20
Lai_PNS,FKRP,FKRP,2,codingPotential; domain_identified,0.11696666666666666,2.6965159549556073e-20
Lai_PNS,CACNA2D3,CACNA2D3,3,codingPotential; domain_identified; signal_peptide_identified,0.18493333333333334,3.975644776624373e-20
Lai_PNS,NLGN3,NLGN3,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.3710333333333333,5.472191503728073e-20
Lai_PNS,MAGI1,MAGI1,2,codingPotential; domain_identified,0.14898333333333333,8.21748328350417e-20
Lai_PNS,FANCM,FANCM,2,codingPotential; domain_identified,0.10075,1.6626386406347454e-19
Lai_PNS,ENSG00000241860.8,NA,1,IR,0.3665833333333333,2.0310967304131229e-19
Lai_PNS,CRMP1,CRMP1,2,codingPotential; domain_identified,0.1112333333333333,7.6471272379095375e-19
Lai_PNS,IMP4,IMP4,3,codingPotential; domain_identified; IR,0.1609,9.323012458637989e-19
Lai_PNS,GAD2,GAD2,3,codingPotential; domain_identified; IR,0.2643833333333333,1.9693916950363836e-18
Lai_PNS,GNAS,GNAS,2,codingPotential; domain_identified,0.1428833333333333,1.265166275686808e-17
Lai_PNS,MICAL3,MICAL3,3,codingPotential; domain_identified; IR,0.11353333333333332,3.8935850816922647e-17
Lai_PNS,NME6,NME6,2,codingPotential; domain_identified,0.1357,7.237912349849994e-17
Lai_PNS,EPB41L4B,EPB41L4B,2,codingPotential; domain_identified,0.3324333333333334,7.679332856118422e-17
Lai_PNS,APP,APP,3,codingPotential; domain_identified; signal_peptide_identified,0.2599666666666667,7.840830728940838e-17
Lai_PNS,RUNX1T1,RUNX1T1,1,PTC,0.16916666666666666,9.217257772709806e-17
Lai_PNS,ARHGAP26,ARHGAP26,3,codingPotential; domain_identified; IR,0.22676666666666667,1.0776193293657739e-16
Lai_PNS,TPD52L1,TPD52L1,2,codingPotential; domain_identified,0.25283333333333335,8.143992961162253e-16
Lai_PNS,LINC03104,LINC03104,1,IR,0.36073333333333335,8.344990938621539e-16
Lai_PNS,EPHB4,EPHB4,3,codingPotential; domain_identified; signal_peptide_identified,0.15106666666666668,1.0134314573128202e-15
Lai_PNS,RMDN1,RMDN1,2,codingPotential; domain_identified,0.18136666666666668,1.909459840682538e-15
Lai_PNS,SMAD3,SMAD3,2,codingPotential; domain_identified,0.33825000000000005,1.9597492184111794e-15
Lai_PNS,PCDHA11,PCDHA11,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.28113333333333335,4.577049751660376e-15
Lai_PNS,ZFC3H1,ZFC3H1,1,codingPotential,0.10181666666666667,6.7235783671557295e-15
