"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006364","rRNA processing",220,-0.482499990507752,-2.21076705375184,1e-10,6.14888888888889e-08,4.96725146198831e-08,6838,"tags=62%, list=34%, signal=41%","ENSG00000001497/ENSG00000124383/ENSG00000253729/ENSG00000123064/ENSG00000135828/ENSG00000120158/ENSG00000114767/ENSG00000197223/ENSG00000183751/ENSG00000120314/ENSG00000111615/ENSG00000177954/ENSG00000108592/ENSG00000101782/ENSG00000086189/ENSG00000071462/ENSG00000119285/ENSG00000124787/ENSG00000273611/ENSG00000109534/ENSG00000007520/ENSG00000115368/ENSG00000241945/ENSG00000148688/ENSG00000182117/ENSG00000188846/ENSG00000178694/ENSG00000134987/ENSG00000124784/ENSG00000105202/ENSG00000213782/ENSG00000137154/ENSG00000160214/ENSG00000171861/ENSG00000126749/ENSG00000131469/ENSG00000156697/ENSG00000105193/ENSG00000165732/ENSG00000178896/ENSG00000166133/ENSG00000100138/ENSG00000007376/ENSG00000115761/ENSG00000119616/ENSG00000100029/ENSG00000058729/ENSG00000075914/ENSG00000171824/ENSG00000275464/ENSG00000141101/ENSG00000101546/ENSG00000101361/ENSG00000107937/ENSG00000055044/ENSG00000161970/ENSG00000117395/ENSG00000162408/ENSG00000122687/ENSG00000120800/ENSG00000127804/ENSG00000179409/ENSG00000152464/ENSG00000130826/ENSG00000132275/ENSG00000109536/ENSG00000130713/ENSG00000129460/ENSG00000164338/ENSG00000105671/ENSG00000188739/ENSG00000101945/ENSG00000117133/ENSG00000198000/ENSG00000197498/ENSG00000164167/ENSG00000148303/ENSG00000172336/ENSG00000088205/ENSG00000167721/ENSG00000117597/ENSG00000135372/ENSG00000165526/ENSG00000139637/ENSG00000169519/ENSG00000108651/ENSG00000147604/ENSG00000065183/ENSG00000067533/ENSG00000162851/ENSG00000164587/ENSG00000168228/ENSG00000104872/ENSG00000145220/ENSG00000170515/ENSG00000029639/ENSG00000053372/ENSG00000183520/ENSG00000130935/ENSG00000089048/ENSG00000166197/ENSG00000118181/ENSG00000011260/ENSG00000129347/ENSG00000115268/ENSG00000107371/ENSG00000160256/ENSG00000198042/ENSG00000111845/ENSG00000142937/ENSG00000141543/ENSG00000136942/ENSG00000171858/ENSG00000182899/ENSG00000133316/ENSG00000039123/ENSG00000065268/ENSG00000122406/ENSG00000171806/ENSG00000123737/ENSG00000113460/ENSG00000107833/ENSG00000164934/ENSG00000177971/ENSG00000104626/ENSG00000120699/ENSG00000278619/ENSG00000167272/ENSG00000138326/ENSG00000143748/ENSG00000173113/ENSG00000178718/ENSG00000147889/ENSG00000172183/ENSG00000132467/ENSG00000005189"
"GO:0042254","ribosome biogenesis",312,-0.454917536795322,-2.16593888331241,1e-10,6.14888888888889e-08,4.96725146198831e-08,6076,"tags=60%, list=31%, signal=42%","ENSG00000275700/ENSG00000001497/ENSG00000124383/ENSG00000186468/ENSG00000253729/ENSG00000171763/ENSG00000123064/ENSG00000135828/ENSG00000120158/ENSG00000114767/ENSG00000197223/ENSG00000183751/ENSG00000134419/ENSG00000120314/ENSG00000188976/ENSG00000111615/ENSG00000177954/ENSG00000108592/ENSG00000101782/ENSG00000086189/ENSG00000071462/ENSG00000148296/ENSG00000119285/ENSG00000124787/ENSG00000134697/ENSG00000273611/ENSG00000109534/ENSG00000007520/ENSG00000115368/ENSG00000241945/ENSG00000142684/ENSG00000148688/ENSG00000182117/ENSG00000188846/ENSG00000178694/ENSG00000100294/ENSG00000114391/ENSG00000134987/ENSG00000124784/ENSG00000105202/ENSG00000213782/ENSG00000082898/ENSG00000156928/ENSG00000137154/ENSG00000160214/ENSG00000171861/ENSG00000126749/ENSG00000131469/ENSG00000274523/ENSG00000156697/ENSG00000105193/ENSG00000084092/ENSG00000165732/ENSG00000178896/ENSG00000166133/ENSG00000165792/ENSG00000100138/ENSG00000037241/ENSG00000007376/ENSG00000115761/ENSG00000143319/ENSG00000119616/ENSG00000100029/ENSG00000149806/ENSG00000058729/ENSG00000075914/ENSG00000171824/ENSG00000275464/ENSG00000141101/ENSG00000101546/ENSG00000101361/ENSG00000107937/ENSG00000055044/ENSG00000161970/ENSG00000117395/ENSG00000162408/ENSG00000122687/ENSG00000120800/ENSG00000127804/ENSG00000179409/ENSG00000122140/ENSG00000108561/ENSG00000169251/ENSG00000152464/ENSG00000130826/ENSG00000132275/ENSG00000109536/ENSG00000130713/ENSG00000129460/ENSG00000164338/ENSG00000105671/ENSG00000188739/ENSG00000101945/ENSG00000117133/ENSG00000198000/ENSG00000158290/ENSG00000176731/ENSG00000197498/ENSG00000164167/ENSG00000148303/ENSG00000146909/ENSG00000172336/ENSG00000088205/ENSG00000156968/ENSG00000167721/ENSG00000198301/ENSG00000117597/ENSG00000135372/ENSG00000165526/ENSG00000139637/ENSG00000169519/ENSG00000145425/ENSG00000083845/ENSG00000172809/ENSG00000108651/ENSG00000143633/ENSG00000147604/ENSG00000145375/ENSG00000065183/ENSG00000156469/ENSG00000213553/ENSG00000067533/ENSG00000048162/ENSG00000067248/ENSG00000108559/ENSG00000162851/ENSG00000164587/ENSG00000168228/ENSG00000104872/ENSG00000145220/ENSG00000170515/ENSG00000029639/ENSG00000053372/ENSG00000183520/ENSG00000130935/ENSG00000089048/ENSG00000166197/ENSG00000089157/ENSG00000118181/ENSG00000105793/ENSG00000011260/ENSG00000129347/ENSG00000125445/ENSG00000115268/ENSG00000107371/ENSG00000160256/ENSG00000198042/ENSG00000144895/ENSG00000111845/ENSG00000142937/ENSG00000141543/ENSG00000136942/ENSG00000171858/ENSG00000182899/ENSG00000133316/ENSG00000039123/ENSG00000065268/ENSG00000122406/ENSG00000198498/ENSG00000110700/ENSG00000171806/ENSG00000123737/ENSG00000113460/ENSG00000107833/ENSG00000164934/ENSG00000177971/ENSG00000104626/ENSG00000120699/ENSG00000132341/ENSG00000278619/ENSG00000067334/ENSG00000168028/ENSG00000167272/ENSG00000138326/ENSG00000143748/ENSG00000137876/ENSG00000173113/ENSG00000178718/ENSG00000181163/ENSG00000156256/ENSG00000147889/ENSG00000173674/ENSG00000172183/ENSG00000132467/ENSG00000005189/ENSG00000122034"
"GO:0030217","T cell differentiation",281,0.470916979591176,2.16354441649317,1e-10,6.14888888888889e-08,4.96725146198831e-08,3152,"tags=33%, list=16%, signal=29%","ENSG00000106952/ENSG00000124766/ENSG00000124813/ENSG00000138378/ENSG00000134460/ENSG00000196189/ENSG00000136244/ENSG00000115008/ENSG00000204103/ENSG00000109943/ENSG00000159216/ENSG00000117586/ENSG00000049249/ENSG00000186818/ENSG00000115604/ENSG00000173757/ENSG00000143772/ENSG00000198851/ENSG00000105639/ENSG00000198846/ENSG00000173585/ENSG00000069399/ENSG00000126561/ENSG00000126353/ENSG00000073584/ENSG00000097007/ENSG00000180549/ENSG00000112149/ENSG00000080503/ENSG00000114013/ENSG00000105810/ENSG00000121807/ENSG00000067606/ENSG00000125245/ENSG00000110944/ENSG00000139636/ENSG00000081059/ENSG00000049618/ENSG00000168610/ENSG00000118513/ENSG00000110497/ENSG00000107485/ENSG00000121594/ENSG00000125657/ENSG00000118689/ENSG00000171150/ENSG00000116824/ENSG00000075426/ENSG00000117461/ENSG00000169508/ENSG00000150782/ENSG00000123338/ENSG00000198286/ENSG00000125538/ENSG00000124126/ENSG00000198793/ENSG00000144802/ENSG00000116678/ENSG00000113302/ENSG00000173473/ENSG00000171608/ENSG00000189079/ENSG00000057657/ENSG00000162434/ENSG00000002330/ENSG00000125347/ENSG00000168685/ENSG00000104853/ENSG00000197272/ENSG00000100485/ENSG00000115085/ENSG00000196839/ENSG00000122122/ENSG00000066117/ENSG00000184557/ENSG00000179588/ENSG00000203710/ENSG00000163939/ENSG00000141968/ENSG00000168421/ENSG00000163508/ENSG00000163600/ENSG00000161405/ENSG00000112658/ENSG00000101665/ENSG00000109101/ENSG00000104856/ENSG00000069667/ENSG00000114861/ENSG00000184916/ENSG00000139613/ENSG00000171522/ENSG00000138795/ENSG00000140691"
"GO:0016072","rRNA metabolic process",260,-0.453921502303362,-2.11905239896644,1e-10,6.14888888888889e-08,4.96725146198831e-08,6910,"tags=60%, list=35%, signal=40%","ENSG00000138442/ENSG00000141456/ENSG00000099956/ENSG00000001497/ENSG00000124383/ENSG00000253729/ENSG00000123064/ENSG00000135828/ENSG00000120158/ENSG00000114767/ENSG00000197223/ENSG00000183751/ENSG00000120314/ENSG00000106723/ENSG00000111615/ENSG00000177954/ENSG00000108592/ENSG00000101782/ENSG00000086189/ENSG00000071462/ENSG00000119285/ENSG00000124787/ENSG00000273611/ENSG00000109534/ENSG00000007520/ENSG00000115368/ENSG00000241945/ENSG00000148688/ENSG00000182117/ENSG00000188846/ENSG00000178694/ENSG00000134987/ENSG00000124784/ENSG00000105202/ENSG00000186184/ENSG00000099817/ENSG00000213782/ENSG00000117877/ENSG00000137154/ENSG00000160214/ENSG00000171861/ENSG00000126749/ENSG00000131469/ENSG00000156697/ENSG00000105193/ENSG00000165732/ENSG00000178896/ENSG00000166133/ENSG00000100138/ENSG00000007376/ENSG00000115761/ENSG00000119616/ENSG00000100029/ENSG00000058729/ENSG00000075914/ENSG00000171824/ENSG00000275464/ENSG00000141101/ENSG00000101546/ENSG00000101361/ENSG00000107937/ENSG00000055044/ENSG00000161970/ENSG00000117395/ENSG00000162408/ENSG00000122687/ENSG00000120800/ENSG00000127804/ENSG00000179409/ENSG00000013573/ENSG00000152464/ENSG00000130826/ENSG00000132275/ENSG00000109536/ENSG00000130713/ENSG00000129460/ENSG00000164338/ENSG00000105671/ENSG00000188739/ENSG00000101945/ENSG00000117133/ENSG00000198000/ENSG00000197498/ENSG00000164167/ENSG00000148303/ENSG00000172336/ENSG00000088205/ENSG00000167721/ENSG00000117597/ENSG00000135372/ENSG00000165526/ENSG00000139637/ENSG00000169519/ENSG00000137054/ENSG00000108651/ENSG00000147604/ENSG00000065183/ENSG00000067533/ENSG00000155438/ENSG00000162851/ENSG00000164587/ENSG00000168228/ENSG00000104872/ENSG00000115053/ENSG00000145220/ENSG00000170515/ENSG00000029639/ENSG00000115750/ENSG00000053372/ENSG00000183520/ENSG00000166986/ENSG00000152684/ENSG00000105849/ENSG00000130935/ENSG00000089048/ENSG00000166197/ENSG00000118181/ENSG00000011260/ENSG00000129347/ENSG00000115268/ENSG00000107371/ENSG00000160256/ENSG00000154760/ENSG00000198042/ENSG00000136997/ENSG00000111845/ENSG00000142937/ENSG00000141543/ENSG00000136942/ENSG00000171858/ENSG00000182899/ENSG00000133316/ENSG00000039123/ENSG00000065268/ENSG00000122406/ENSG00000171806/ENSG00000123737/ENSG00000113460/ENSG00000107833/ENSG00000164934/ENSG00000177971/ENSG00000104626/ENSG00000120699/ENSG00000278619/ENSG00000214274/ENSG00000167272/ENSG00000138326/ENSG00000143748/ENSG00000173113/ENSG00000178718/ENSG00000147889/ENSG00000123144/ENSG00000172183/ENSG00000132467/ENSG00000005189/ENSG00000122034"
"GO:1901293","nucleoside phosphate biosynthetic process",280,-0.445842124846882,-2.0950252887512,1e-10,6.14888888888889e-08,4.96725146198831e-08,4400,"tags=42%, list=22%, signal=33%","ENSG00000178127/ENSG00000166136/ENSG00000168393/ENSG00000102125/ENSG00000144591/ENSG00000204922/ENSG00000156136/ENSG00000158864/ENSG00000145439/ENSG00000091140/ENSG00000099797/ENSG00000115286/ENSG00000198682/ENSG00000164181/ENSG00000178921/ENSG00000102967/ENSG00000198380/ENSG00000140650/ENSG00000141127/ENSG00000165996/ENSG00000013375/ENSG00000151366/ENSG00000241837/ENSG00000116459/ENSG00000169020/ENSG00000068366/ENSG00000167792/ENSG00000239900/ENSG00000004864/ENSG00000131069/ENSG00000131459/ENSG00000168291/ENSG00000176974/ENSG00000065833/ENSG00000157064/ENSG00000170191/ENSG00000157881/ENSG00000117143/ENSG00000183077/ENSG00000139180/ENSG00000167900/ENSG00000165629/ENSG00000140990/ENSG00000198840/ENSG00000117118/ENSG00000114491/ENSG00000254685/ENSG00000068120/ENSG00000167325/ENSG00000156411/ENSG00000152620/ENSG00000198805/ENSG00000135390/ENSG00000196511/ENSG00000243678/ENSG00000178685/ENSG00000185883/ENSG00000206527/ENSG00000123983/ENSG00000099624/ENSG00000149925/ENSG00000130770/ENSG00000100714/ENSG00000147224/ENSG00000183648/ENSG00000075239/ENSG00000128951/ENSG00000159131/ENSG00000213619/ENSG00000128050/ENSG00000178802/ENSG00000154930/ENSG00000156110/ENSG00000074800/ENSG00000136521/ENSG00000176890/ENSG00000143179/ENSG00000004455/ENSG00000102144/ENSG00000173540/ENSG00000167863/ENSG00000184983/ENSG00000124357/ENSG00000164116/ENSG00000178035/ENSG00000138496/ENSG00000106348/ENSG00000159199/ENSG00000197142/ENSG00000103507/ENSG00000147813/ENSG00000165704/ENSG00000104522/ENSG00000134326/ENSG00000061918/ENSG00000149084/ENSG00000109814/ENSG00000103485/ENSG00000197355/ENSG00000255154/ENSG00000171848/ENSG00000101911/ENSG00000163655/ENSG00000115919/ENSG00000095380/ENSG00000183696/ENSG00000131238/ENSG00000140057/ENSG00000152256/ENSG00000106105/ENSG00000151726/ENSG00000112874/ENSG00000169418/ENSG00000105835/ENSG00000170522/ENSG00000113552/ENSG00000174233"
"GO:0030098","lymphocyte differentiation",375,0.435019491551661,2.06922822872033,1e-10,6.14888888888889e-08,4.96725146198831e-08,3277,"tags=32%, list=16%, signal=27%","ENSG00000106952/ENSG00000124766/ENSG00000124813/ENSG00000138378/ENSG00000134460/ENSG00000196189/ENSG00000136244/ENSG00000115008/ENSG00000204103/ENSG00000120899/ENSG00000109943/ENSG00000159216/ENSG00000117586/ENSG00000049249/ENSG00000186818/ENSG00000115604/ENSG00000173757/ENSG00000143772/ENSG00000198851/ENSG00000117322/ENSG00000105639/ENSG00000198846/ENSG00000173585/ENSG00000069399/ENSG00000126561/ENSG00000126353/ENSG00000073584/ENSG00000097007/ENSG00000175505/ENSG00000180549/ENSG00000134250/ENSG00000183087/ENSG00000112149/ENSG00000080503/ENSG00000114013/ENSG00000105810/ENSG00000121807/ENSG00000067606/ENSG00000125245/ENSG00000197943/ENSG00000110944/ENSG00000168918/ENSG00000139636/ENSG00000081059/ENSG00000049618/ENSG00000168610/ENSG00000118513/ENSG00000136634/ENSG00000110497/ENSG00000107485/ENSG00000121594/ENSG00000071564/ENSG00000125657/ENSG00000118689/ENSG00000171150/ENSG00000116824/ENSG00000156738/ENSG00000150093/ENSG00000075426/ENSG00000117461/ENSG00000211899/ENSG00000169508/ENSG00000150782/ENSG00000123338/ENSG00000198286/ENSG00000125538/ENSG00000124126/ENSG00000198793/ENSG00000168264/ENSG00000144802/ENSG00000116678/ENSG00000113302/ENSG00000154822/ENSG00000173473/ENSG00000111732/ENSG00000171608/ENSG00000189079/ENSG00000057657/ENSG00000162434/ENSG00000185811/ENSG00000002330/ENSG00000125347/ENSG00000168685/ENSG00000104853/ENSG00000078596/ENSG00000197272/ENSG00000100485/ENSG00000115085/ENSG00000196839/ENSG00000122122/ENSG00000066117/ENSG00000184557/ENSG00000179588/ENSG00000105369/ENSG00000203710/ENSG00000163939/ENSG00000141968/ENSG00000168421/ENSG00000163508/ENSG00000163600/ENSG00000161405/ENSG00000112658/ENSG00000149311/ENSG00000101665/ENSG00000109101/ENSG00000068024/ENSG00000104856/ENSG00000069667/ENSG00000114861/ENSG00000184916/ENSG00000139613/ENSG00000171522/ENSG00000138795/ENSG00000067082/ENSG00000140691/ENSG00000030110/ENSG00000153029/ENSG00000110777/ENSG00000215417"
"GO:0022613","ribonucleoprotein complex biogenesis",455,-0.406362452222933,-1.99352531437436,1e-10,6.14888888888889e-08,4.96725146198831e-08,7157,"tags=56%, list=36%, signal=37%","ENSG00000142676/ENSG00000135250/ENSG00000124193/ENSG00000188917/ENSG00000117360/ENSG00000061936/ENSG00000106682/ENSG00000079313/ENSG00000135829/ENSG00000136045/ENSG00000138442/ENSG00000184110/ENSG00000141456/ENSG00000275700/ENSG00000001497/ENSG00000124383/ENSG00000116455/ENSG00000186468/ENSG00000253729/ENSG00000171763/ENSG00000123064/ENSG00000135828/ENSG00000120158/ENSG00000114767/ENSG00000197223/ENSG00000183751/ENSG00000134419/ENSG00000120314/ENSG00000188976/ENSG00000169249/ENSG00000111615/ENSG00000110107/ENSG00000105618/ENSG00000177954/ENSG00000179950/ENSG00000108592/ENSG00000160710/ENSG00000106263/ENSG00000096384/ENSG00000101782/ENSG00000086189/ENSG00000071462/ENSG00000115128/ENSG00000152147/ENSG00000087365/ENSG00000148296/ENSG00000119285/ENSG00000124787/ENSG00000134697/ENSG00000273611/ENSG00000109534/ENSG00000007520/ENSG00000115368/ENSG00000241945/ENSG00000139726/ENSG00000142684/ENSG00000148688/ENSG00000182117/ENSG00000188846/ENSG00000178694/ENSG00000100294/ENSG00000114391/ENSG00000134987/ENSG00000141759/ENSG00000124784/ENSG00000105202/ENSG00000213782/ENSG00000082898/ENSG00000137574/ENSG00000172409/ENSG00000156928/ENSG00000137154/ENSG00000160214/ENSG00000171861/ENSG00000137656/ENSG00000126749/ENSG00000131469/ENSG00000274523/ENSG00000156697/ENSG00000105193/ENSG00000084092/ENSG00000165732/ENSG00000178896/ENSG00000166133/ENSG00000125835/ENSG00000165792/ENSG00000100138/ENSG00000037241/ENSG00000007376/ENSG00000115761/ENSG00000143319/ENSG00000119616/ENSG00000100029/ENSG00000149806/ENSG00000058729/ENSG00000075914/ENSG00000171824/ENSG00000275464/ENSG00000141101/ENSG00000151131/ENSG00000101546/ENSG00000101361/ENSG00000107937/ENSG00000055044/ENSG00000161970/ENSG00000117395/ENSG00000136937/ENSG00000162408/ENSG00000175054/ENSG00000122687/ENSG00000120800/ENSG00000127804/ENSG00000179409/ENSG00000122140/ENSG00000108561/ENSG00000146963/ENSG00000169251/ENSG00000100129/ENSG00000152464/ENSG00000130826/ENSG00000132275/ENSG00000149100/ENSG00000273841/ENSG00000109536/ENSG00000130713/ENSG00000129460/ENSG00000130520/ENSG00000164338/ENSG00000105671/ENSG00000188739/ENSG00000101945/ENSG00000117133/ENSG00000175792/ENSG00000198000/ENSG00000158290/ENSG00000176731/ENSG00000197498/ENSG00000164167/ENSG00000148303/ENSG00000146909/ENSG00000172336/ENSG00000088205/ENSG00000136450/ENSG00000121058/ENSG00000156968/ENSG00000167721/ENSG00000198301/ENSG00000117597/ENSG00000135372/ENSG00000165526/ENSG00000188529/ENSG00000139637/ENSG00000169519/ENSG00000092208/ENSG00000145425/ENSG00000083845/ENSG00000172809/ENSG00000108651/ENSG00000100410/ENSG00000143633/ENSG00000147604/ENSG00000145375/ENSG00000182004/ENSG00000084623/ENSG00000065183/ENSG00000156469/ENSG00000139343/ENSG00000213553/ENSG00000067533/ENSG00000172062/ENSG00000048162/ENSG00000101343/ENSG00000067248/ENSG00000108559/ENSG00000162851/ENSG00000100462/ENSG00000164587/ENSG00000168228/ENSG00000104872/ENSG00000240682/ENSG00000104897/ENSG00000104408/ENSG00000145220/ENSG00000170515/ENSG00000101161/ENSG00000029639/ENSG00000232119/ENSG00000083635/ENSG00000167088/ENSG00000053372/ENSG00000079785/ENSG00000183520/ENSG00000130935/ENSG00000089048/ENSG00000166197/ENSG00000089157/ENSG00000118181/ENSG00000105793/ENSG00000011260/ENSG00000129347/ENSG00000125445/ENSG00000115268/ENSG00000107371/ENSG00000160256/ENSG00000143977/ENSG00000063046/ENSG00000102241/ENSG00000198042/ENSG00000144895/ENSG00000125977/ENSG00000111845/ENSG00000142937/ENSG00000141543/ENSG00000136942/ENSG00000100028/ENSG00000171858/ENSG00000182899/ENSG00000133316/ENSG00000039123/ENSG00000065268/ENSG00000122406/ENSG00000198498/ENSG00000110700/ENSG00000171806/ENSG00000123737/ENSG00000113460/ENSG00000107833/ENSG00000164934/ENSG00000177971/ENSG00000104626/ENSG00000120699/ENSG00000132341/ENSG00000075856/ENSG00000100697/ENSG00000125870/ENSG00000110958/ENSG00000074201/ENSG00000278619/ENSG00000067334/ENSG00000168028/ENSG00000167272/ENSG00000138326/ENSG00000143748/ENSG00000137876/ENSG00000173113/ENSG00000178718/ENSG00000181163/ENSG00000156256/ENSG00000147889/ENSG00000173674/ENSG00000172183/ENSG00000132467/ENSG00000005189/ENSG00000122034/ENSG00000130741"
"GO:1903131","mononuclear cell differentiation",451,0.407664294890878,1.9734075434143,1e-10,6.14888888888889e-08,4.96725146198831e-08,3379,"tags=31%, list=17%, signal=26%","ENSG00000106952/ENSG00000124766/ENSG00000124813/ENSG00000138378/ENSG00000134460/ENSG00000196189/ENSG00000136244/ENSG00000115008/ENSG00000204103/ENSG00000120899/ENSG00000109943/ENSG00000159216/ENSG00000117586/ENSG00000049249/ENSG00000186818/ENSG00000115604/ENSG00000173757/ENSG00000143772/ENSG00000198851/ENSG00000117322/ENSG00000105639/ENSG00000104972/ENSG00000198846/ENSG00000173585/ENSG00000069399/ENSG00000126561/ENSG00000126353/ENSG00000073584/ENSG00000178585/ENSG00000097007/ENSG00000175505/ENSG00000180549/ENSG00000134250/ENSG00000183087/ENSG00000112149/ENSG00000080503/ENSG00000114013/ENSG00000105810/ENSG00000121807/ENSG00000067606/ENSG00000125245/ENSG00000197943/ENSG00000110944/ENSG00000168918/ENSG00000139636/ENSG00000213886/ENSG00000081059/ENSG00000049618/ENSG00000168610/ENSG00000118513/ENSG00000136634/ENSG00000164400/ENSG00000110497/ENSG00000107485/ENSG00000121594/ENSG00000071564/ENSG00000125657/ENSG00000118689/ENSG00000171150/ENSG00000116824/ENSG00000003402/ENSG00000156738/ENSG00000150093/ENSG00000075426/ENSG00000117461/ENSG00000211899/ENSG00000180353/ENSG00000169508/ENSG00000150782/ENSG00000123338/ENSG00000130584/ENSG00000100345/ENSG00000198286/ENSG00000125538/ENSG00000124126/ENSG00000198793/ENSG00000168264/ENSG00000105855/ENSG00000144802/ENSG00000116678/ENSG00000113302/ENSG00000186642/ENSG00000154822/ENSG00000173473/ENSG00000111732/ENSG00000133424/ENSG00000137275/ENSG00000171608/ENSG00000189079/ENSG00000057657/ENSG00000162434/ENSG00000185811/ENSG00000002330/ENSG00000160219/ENSG00000125347/ENSG00000168685/ENSG00000104853/ENSG00000078596/ENSG00000197272/ENSG00000100485/ENSG00000115085/ENSG00000196839/ENSG00000122122/ENSG00000066117/ENSG00000184557/ENSG00000179588/ENSG00000234745/ENSG00000123360/ENSG00000105369/ENSG00000203710/ENSG00000163939/ENSG00000141968/ENSG00000168421/ENSG00000163508/ENSG00000163600/ENSG00000161405/ENSG00000112658/ENSG00000198945/ENSG00000149311/ENSG00000101665/ENSG00000109101/ENSG00000068024/ENSG00000104856/ENSG00000069667/ENSG00000114861/ENSG00000184916/ENSG00000139613/ENSG00000171522/ENSG00000138795/ENSG00000067082/ENSG00000140691/ENSG00000030110/ENSG00000153029/ENSG00000110777/ENSG00000119714/ENSG00000215417/ENSG00000142185/ENSG00000178951/ENSG00000083799"
"GO:0042110","T cell activation",500,0.395041860779233,1.92682445571111,1e-10,6.14888888888889e-08,4.96725146198831e-08,3418,"tags=31%, list=17%, signal=26%","ENSG00000106952/ENSG00000124766/ENSG00000124813/ENSG00000198502/ENSG00000181847/ENSG00000138378/ENSG00000134460/ENSG00000196189/ENSG00000136244/ENSG00000115008/ENSG00000111729/ENSG00000101307/ENSG00000204103/ENSG00000179344/ENSG00000109943/ENSG00000159216/ENSG00000117586/ENSG00000049249/ENSG00000135077/ENSG00000186818/ENSG00000115604/ENSG00000111913/ENSG00000066294/ENSG00000173757/ENSG00000114315/ENSG00000143772/ENSG00000198851/ENSG00000105639/ENSG00000101082/ENSG00000104972/ENSG00000198846/ENSG00000010810/ENSG00000173585/ENSG00000069399/ENSG00000110852/ENSG00000126561/ENSG00000126353/ENSG00000073584/ENSG00000097007/ENSG00000180549/ENSG00000112149/ENSG00000080503/ENSG00000071051/ENSG00000114013/ENSG00000114423/ENSG00000105810/ENSG00000121807/ENSG00000067606/ENSG00000125245/ENSG00000122188/ENSG00000196776/ENSG00000105246/ENSG00000124145/ENSG00000204463/ENSG00000125726/ENSG00000110944/ENSG00000139636/ENSG00000136167/ENSG00000081059/ENSG00000049618/ENSG00000168610/ENSG00000118513/ENSG00000197122/ENSG00000136634/ENSG00000110497/ENSG00000167984/ENSG00000107485/ENSG00000121594/ENSG00000125657/ENSG00000118689/ENSG00000171150/ENSG00000116824/ENSG00000154096/ENSG00000112576/ENSG00000002822/ENSG00000075426/ENSG00000117461/ENSG00000241106/ENSG00000169508/ENSG00000150782/ENSG00000204475/ENSG00000123338/ENSG00000100345/ENSG00000117280/ENSG00000198286/ENSG00000090776/ENSG00000112679/ENSG00000154639/ENSG00000125538/ENSG00000124126/ENSG00000198793/ENSG00000144802/ENSG00000116678/ENSG00000113302/ENSG00000173473/ENSG00000120694/ENSG00000196684/ENSG00000171608/ENSG00000189079/ENSG00000166949/ENSG00000057657/ENSG00000162434/ENSG00000002330/ENSG00000125347/ENSG00000168685/ENSG00000105397/ENSG00000104853/ENSG00000197272/ENSG00000026508/ENSG00000100485/ENSG00000115085/ENSG00000196839/ENSG00000122122/ENSG00000090659/ENSG00000026751/ENSG00000066117/ENSG00000206503/ENSG00000105851/ENSG00000184557/ENSG00000179588/ENSG00000112195/ENSG00000203710/ENSG00000163939/ENSG00000141968/ENSG00000168421/ENSG00000105205/ENSG00000163508/ENSG00000163600/ENSG00000161405/ENSG00000112658/ENSG00000101665/ENSG00000147065/ENSG00000151208/ENSG00000109101/ENSG00000104856/ENSG00000069667/ENSG00000162736/ENSG00000114861/ENSG00000102034/ENSG00000184916/ENSG00000139613/ENSG00000171522/ENSG00000213809/ENSG00000138795/ENSG00000090339/ENSG00000140691/ENSG00000153029/ENSG00000204592/ENSG00000167664/ENSG00000125735/ENSG00000171916/ENSG00000110448/ENSG00000083799/ENSG00000213658/ENSG00000136630"
"GO:0046631","alpha-beta T cell activation",176,0.510658284410472,2.24692893213944,1.87219483823549e-10,1.03607262347952e-07,8.36969629261696e-08,3152,"tags=38%, list=16%, signal=32%","ENSG00000106952/ENSG00000138378/ENSG00000134460/ENSG00000196189/ENSG00000136244/ENSG00000111729/ENSG00000109943/ENSG00000159216/ENSG00000117586/ENSG00000186818/ENSG00000115604/ENSG00000143772/ENSG00000198851/ENSG00000105639/ENSG00000104972/ENSG00000198846/ENSG00000069399/ENSG00000110852/ENSG00000126561/ENSG00000097007/ENSG00000180549/ENSG00000112149/ENSG00000114013/ENSG00000114423/ENSG00000121807/ENSG00000067606/ENSG00000125245/ENSG00000105246/ENSG00000204463/ENSG00000110944/ENSG00000168610/ENSG00000118513/ENSG00000107485/ENSG00000121594/ENSG00000171150/ENSG00000075426/ENSG00000169508/ENSG00000150782/ENSG00000204475/ENSG00000123338/ENSG00000198286/ENSG00000198793/ENSG00000144802/ENSG00000113302/ENSG00000120694/ENSG00000057657/ENSG00000162434/ENSG00000125347/ENSG00000105397/ENSG00000197272/ENSG00000115085/ENSG00000196839/ENSG00000122122/ENSG00000206503/ENSG00000184557/ENSG00000179588/ENSG00000163508/ENSG00000163600/ENSG00000101665/ENSG00000104856/ENSG00000069667/ENSG00000114861/ENSG00000102034/ENSG00000171522/ENSG00000138795/ENSG00000140691"
