dataset,gene_id,gene_name,isoform_id,dIF,q_use,consequence
Mishra_850,CNTNAP2,CNTNAP2,ENST00000463592,0.20319999999999994,1.2434655389623242e-178,codingPotential
Mishra_850,MACF1,MACF1,ENST00000671089,0.13555,1.739825756976819e-163,codingPotential
Mishra_850,MACF1,MACF1,ENST00000671089,0.13555,1.739825756976819e-163,domain_identified
Mishra_850,H2BC6,H2BC6,ENST00000614097,0.19440000000000013,8.727982490534342e-151,codingPotential
Mishra_850,H2BC6,H2BC6,ENST00000614097,0.19440000000000013,8.727982490534342e-151,domain_identified
Mishra_850,H2BC6,H2BC6,ENST00000634910,-0.1944,8.727982490534342e-151,codingPotential
Mishra_850,H2BC6,H2BC6,ENST00000634910,-0.1944,8.727982490534342e-151,domain_identified
Mishra_850,KANSL1,KANSL1,ENST00000638275,-0.10035,2.5002904424975023e-138,codingPotential
Mishra_850,KANSL1,KANSL1,ENST00000638275,-0.10035,2.5002904424975023e-138,domain_identified
Mishra_850,PFN2,PFN2,ENST00000239940,-0.29425,2.051583397437194e-135,codingPotential
Mishra_850,PFN2,PFN2,ENST00000239940,-0.29425,2.051583397437194e-135,domain_identified
Mishra_850,PFN2,PFN2,ENST00000452853,0.2641,2.051583397437194e-135,codingPotential
Mishra_850,PFN2,PFN2,ENST00000452853,0.2641,2.051583397437194e-135,domain_identified
Mishra_850,FBXO25,FBXO25,ENST00000382824,-0.4534499999999999,5.253142988790107e-132,codingPotential
Mishra_850,FBXO25,FBXO25,ENST00000350302,0.43200000000000005,5.253142988790107e-132,codingPotential
Mishra_850,FBXO25,FBXO25,ENST00000352684,0.14604999999999999,5.253142988790107e-132,codingPotential
Mishra_850,UBE2I,UBE2I,ENST00000711332,0.3943,1.3740846248155176e-128,codingPotential
Mishra_850,UBE2I,UBE2I,ENST00000711332,0.3943,1.3740846248155176e-128,domain_identified
Mishra_850,UBE2I,UBE2I,ENST00000711313,-0.3759,1.3740846248155176e-128,codingPotential
Mishra_850,UBE2I,UBE2I,ENST00000711331,0.11065000000000003,1.3740846248155176e-128,codingPotential
Mishra_850,UBE2I,UBE2I,ENST00000711331,0.11065000000000003,1.3740846248155176e-128,domain_identified
Mishra_850,KPNA4,KPNA4,ENST00000676799,0.159,3.9596830741463045e-127,codingPotential
Mishra_850,KPNA4,KPNA4,ENST00000676799,0.159,3.9596830741463045e-127,PTC
Mishra_850,KPNA4,KPNA4,ENST00000678630,-0.14344999999999997,3.9596830741463045e-127,codingPotential
Mishra_850,KPNA4,KPNA4,ENST00000678630,-0.14344999999999997,3.9596830741463045e-127,PTC
Mishra_850,TPM1,TPM1,ENST00000358278,0.3262,8.498733955681425e-115,codingPotential
Mishra_850,TPM1,TPM1,ENST00000358278,0.3262,8.498733955681425e-115,domain_identified
